ID,ActivityName,CommClstrId,Year
41,"(Global) (C-CA1) Ensuring equitable and timely access to emergency primary healthcare, including the link with community health systems and outreach activities.",11,2026
42,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",11,2026
43,"(Global) (C-CA10) Address life-saving reproductive health (RH) interventions in the context of the Minimum Initial Service Package (MISP) including provision of essential RH drugs and supplies, emergency obstetric care and blood transfusions, access to family planning services and information as well as clinical management of rape survivors. Treatment for sexually transmitted infections (STI) including provision of condoms and other contraceptive methods for the protection from HIV and other STIs.",11,2026
44,"(Global) (C-CA11) Medical (including psychological) support to survivors of sexual violenceand other forms of violence against women and girls. This can include Mental Health and Psychosocial Support (MHPSS), refresher training for frontline health staff on clinical management of rape and intimate partner violence (IPV), and supply of drugs, material and equipment including through interagency reproductive health kits.",11,2026
45,(Global) (C-CA12) Addressing life-threatening conditions related to chronic diseases,11,2026
46,(Global) (C-CA13) Provision of psychological first aid for survivors of violence and people with severe mental disorders in communities and institutions,11,2026
47,(Global) (C-CA2) Referral to and support of secondary health care,11,2026
48,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,11,2026
49,"(Global) (C-CA3) Collection, processing analysis and dissemination of critical health information including access to and availability of life-saving health services",11,2026
50,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",11,2026
51,"(Global) (C-CA4) Prevention, detection, and response to health emergencies and disease outbreaks",11,2026
52,(Global) (C-CA5) Support to basic vaccinations against life-threatening diseases,11,2026
53,"(Global) (C-CA6) Mass casualty management. This can include first aid centers, in-service, procurement and delivery of essential medicines and medical equipment, medical evacuation services and deployment of medical staff/teams.",11,2026
54,"(Global) (C-CA7) Repair of existing health facilities. This can include basic, rapid repairs or tents to ensure medical facility functionality or replacement, and provision of essential emergency medical equipment and medicines to emergency wards",11,2026
55,(Global) (C-CA8) Provision of essential emergency medical equipment and medicines to health facilities.,11,2026
56,"(Global) (C-CA9) Address life-threatening conditions related to communicable diseases for example through immunizations, early outbreak response and containment. This can include short refresher training of frontline health staff; supply of drugs and material; social mobilization and targeted health education; reactive mass vaccination campaigns; preparation of specific ad- hoc treatment units for example cholera treatment centers.",11,2026
57,(Global) (C-CA1) Provision of multi-purpose cash,13,2026
58,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",13,2026
59,(Global) (C-CA2) Provision of Group Cash Transfers (GCTs),13,2026
60,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,13,2026
61,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",13,2026
62,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",15,2026
63,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,15,2026
64,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",15,2026
65,"(Global) (C-CA3) Nutrition screenings and surveillance to provide time-critical information for identification of areas of urgent need, or deterioration in the nutritional situation, and for identification of cases of acute malnutrition for referral for lifesaving treatment",15,2026
66,"(Global) (C-CA4) Provision of support to infant and young child feeding in emergencies (IFE). This can include promotion of early, exclusive and continued breastfeeding through support to mothers; provision of counselors and ensuring secluded areas are available for breastfeeding; provision of appropriately targeted support for artificially fed infants, monitoring and policy action forprevention of uncontrolled breast milk substitute donation and distribution; and provision of appropriate complementary foods",15,2026
67,"(Global) (C-CA5) Management of severe and moderate acute malnutrition. This can include support for inpatient and outpatient treatment for severe acute malnutrition as well as community mobilization and outreach to ensure communities can identify cases and access the services, for example community-based management of severe acute malnutrition; targeted and blanket supplementary feeding for children, pregnant and lactating women and other vulnerable groups.",15,2026
68,(Global) (C-CA6) Provision of supplementary feeding rations to the general population or to particularly vulnerable groups.,15,2026
69,(Global) (C-CA7) Provision of micronutrient supplementation (vitamins and minerals),15,2026
70,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",16,2026
71,"(Global) (C-CA10) Identification, setup and strengthening of community-based protection mechanisms, including to identify, prevent, mitigate and respond to violations of International Humanitarian Law and International Human Rights Law. Establishment of or support to protection community networks with affected people, community leaders and community-based groups, ensuring the inclusion of vulnerable groups.",16,2026
72,"(Global) (C-CA11) Provision of life-saving support to people with specific needs, survivors of violence against women and girls and/or sexual exploitation and abuse. This includes strengthening psychosocial support (PSS) programming and non- specialized Mental Health and Psychosocial Support Services (MHPSS) to individuals, families, and communities that have been exposed to conflict and displacement, political oppression, torture, and violence against women and girls; and support in promoting community mobilization, activating social networks, and the establishment of community centers and safe spaces.",16,2026
73,"(Global) (C-CA12) Support protection activities aiming to prevent, stop, or remedy violations of rights in life-threating contexts, such as the provision of protection- related and life-saving information to affected people",16,2026
74,"(Global) (C-CA13) Establishment of referral mechanisms for people with specific protection needs including support for effectively accessing services, and ensuring referred victims can live in security.",16,2026
75,"(Global) (C-CA14) Support measures to ensure access to justice, remedies and reparations. This can include for example assessments of justice and security needs; support to legal advice and paralegal services in conflict-affected areas; mobile legal clinics, or support in cases of arbitrary detention and forced disappearances, and the provision of civil documentation.",16,2026
76,"(Global) (C-CA15) Human rights and protection monitoring, analysis, reporting, advice and interventions. This can include for example alerts or referrals to service providers, with a special focus on marginalized groups.",16,2026
77,"(Global) (C-CA16) Provision of financial, cash or voucher / CVA assistance for protection outcomes",16,2026
78,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,16,2026
79,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",16,2026
80,"(Global) (C-CA8) Deployment of emergency protection teams in disasters and emergencies, for outcomes-based protection monitoring and displacement tracking, for protection service delivery and coordination, outcomes-based human rights and protection monitoring and reporting; and inter-agency, multi- sectoral protection analysis to ensure protection remains central to the humanitarian response",16,2026
81,"(Global) (C-CA9) Profiling, registration, family tracing, monitoring, documentation and case management of affected people and the establishment of protection mechanisms to address individual protection needs including provision of legal documentation for people with specific needs and other vulnerable groups, to facilitate access to essential life-saving services and humanitarian assistance",16,2026
82,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",17,2026
83,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,17,2026
84,"(Global) (C-CA23) Identification, registration, family tracing and reunification or interim care arrangements for unaccompanied or separated children, orphans and children leaving armed groups/forces",17,2026
85,"(Global) (C-CA24) Ensure case management of vulnerable children. This can include identification, registration, referral and follow-up for other extremely vulnerable children such as survivors of violence against girls and other forms of violence, children with no access to basic service and those requiring special protection measures.",17,2026
86,"(Global) (C-CA25) Activities in support of children at risk and affected children by humanitarian crisis. This can include advocacy, awareness-raising, life-skills training, and livelihoods support.",17,2026
87,"(Global) (C-CA26) Provision of Mental Health and Psychosocial Support (MHPSS) to affected children. This can include for example, the provision of child-friendly spaces or other community-based interventions, return to school or emergency education, psychosocial first aid, mental health referrals where expertise exists.",17,2026
88,"(Global) (C-CA27) Integration of children associated with armed groups/forces and prevention of return. This may involve case management and links to associated services such as education, livelihoods and mental health, and child rights monitoring and reporting",17,2026
89,"(Global) (C-CA28) Identification and strengthening, or establishment of community-based child protection mechanisms to monitor, assess and address child protection issues including violence against girls.",17,2026
90,(Global) (C-CA29) Identification of the main physical dangers that cause unintentional injury or death to children of all ages in the emergency through consultation with local actors and take necessary action to mitigate the risk of physical dangers through infrastructure improvement and/or information campaigns,17,2026
91,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",17,2026
92,"(Global) (C-CA30) Identify high-risk areas and factors driving abuse, neglect, exploitation, and violence against children in the emergency and working with others to strengthen/set up prevention strategies",17,2026
93,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",18,2026
94,"(Global) (C-CA17) Strengthen and/or deploy prevention of violence against women and girls personnel to guide implementation of an inter-agency, multi-sectoral violence against women and girls programme response.",18,2026
95,"(Global) (C-CA18) Provision of accessible, confidential, survivor-centered services to address violence against women and girls in line with the IASC standards. This may entail establishment of safe entry points for case management and psychosocial support services, including safe spaces for women and girls, remote services, outreach teams, shelters, community centers, or mobile teams.",18,2026
96,"(Global) (C-CA19) Establishment of protection and prevention mechanisms by identifying high-risk areas and risk factors driving violence against women and girls in the emergency. Strengthen or set up prevention and mitigation strategies, mechanisms and initiatives in support of national and community-based interventions in line with IASC principles and guidelines. Risk mitigation strategies may include the provision of dignity kits and other means of sharing life-saving protection information.",18,2026
97,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,18,2026
98,"(Global) (C-CA20) Support the implementation of violence against women and girls risk mitigation and response into all clusters, as per the IASC Guidelines. This can include the support to national and community-based systems that mitigate violence against women and girls and ensure their full alignment with IASC principles and guidelines",18,2026
99,"(Global) (C-CA21) Support quick orientation of direct service providers, community representatives and groups on mitigating and managing cases of violence against women and girls in emergencies and ensuring the full respect for the core concepts of violence against women and girls.",18,2026
100,"(Global) (C-CA22) Improve access of survivors of violence against women and girls to secure, confidential and appropriate (health, psychosocial, safety, legal), reporting, follow-up and protection, including to police or other security personnel",18,2026
101,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",18,2026
102,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",19,2026
103,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,19,2026
104,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",19,2026
105,"(Global) (C-CA31) Provision of emergency support to address the humanitarian impact of forced evictions, land and resource grabs or other forms of dispossession",19,2026
106,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",21,2026
107,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,21,2026
108,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",21,2026
109,"(Global) (C-CA32) Community liaison, emergency survey and clearance of explosive ordnance to restore access to people in need and enable humanitarian partners to deliver life-saving assistance (e.g., clearance of roads, bridges, food drop zones); support freedom of movement for people fleeing war and to enable people to access basic services",21,2026
110,"(Global) (C-CA33) Assistance to victims of explosive ordnance. This may include legal assistance and case management for the identification, registration, referral and follow-up of survivors and their families in line with IASC guidelines on inclusion of persons with disability in humanitarian action; establishment of protection and prevention mechanisms",21,2026
111,"(Global) (C-CA34) Deliver mine risk education to affected communities, in particular IDPs, refugees, returning communities and children",21,2026
112,"(Global) (C-CA1) Provision and distribution of shelter materials including items to mitigate risks of violence against women and girls, such as partition materials and lighting, and basic technical advice on safe construction",22,2026
113,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",22,2026
114,(Global) (C-CA2) Construction and rehabilitation of temporary emergency shelter and technical advice on safe construction,22,2026
115,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,22,2026
116,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",22,2026
117,"(Global) (C-CA3) Provision and distribution of basic non-food items for affected people and host families. This can include the distribution of climate appropriate items, for example winterization kits or dignity kits.",22,2026
118,"(Global) (C-CA4) Basic infrastructural works. This can include rubble removal, environmental clean-up and emergency rehabilitation of community infrastructure",22,2026
119,(Global) (C-CA5) Construction and repair of temporary or transitional structures that provide immediate shelter and repair of permanent structures when appropriate,22,2026
120,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",23,2026
121,(Global) (C-CA10) Support to solid waste management,23,2026
122,(Global) (C-CA11) Support drainage operations,23,2026
123,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,23,2026
124,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",23,2026
125,"(Global) (C-CA6) Provision of water for drinking, cooking and personal hygiene. Activities in support of the WASH sector including extraction, transport, treatment, storage, distribution and monitoring, and repair, construction and maintenance of emergency water facilities.",23,2026
126,(Global) (C-CA7) Provision of essential WASH-related non-food items and supplies,23,2026
127,(Global) (C-CA7) Support to sanitation systems in emergency situations. This can include excreta disposal.,23,2026
128,(Global) (C-CA8) Awareness raising and active participation of and accountability to affected populations in the prevention and mitigation of WASH-related diseases.This can include information/communication; optimization and effective use of facilities; and community mobilization and participation,23,2026
129,(Global) (C-CA9) Support to vector control,23,2026
